date_time,Real,Predicted,close,Signal,Entry/Exit,Signal_Strength,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Minute Returns,Portfolio Cumulative Returns,Stock Minute Returns,Stock Cumulative Returns,num_date
2021-03-12 15:32:00,-0.0044523597506679275,-0.013669844332080912,11.23,-1.0,0.0,-2.0,-89118.0,-89118.0,-1000795.14,1966876.8292,966081.6892,-1.1102230246251565e-16,-0.03391831079999996,-0.005208702430727796,0.0007842298506404166,737861.6472222222
2021-03-12 15:33:00,0.0021735241502682822,-0.006065378307059732,11.18,-1.0,0.0,-1.0,-44559.0,44559.0,-498169.62,1468707.2092000002,970537.5892000002,0.0046123428792963495,-0.029462410799999783,-0.0044523597506679335,-0.0036716215734498014,737861.6479166667
2021-03-12 15:34:00,0.003186276697339401,-0.0044540133992484405,11.2043,-1.0,0.0,-1.0,-44559.0,0.0,-499252.4037,1468707.2092000002,969454.8055000001,-0.001115653542994255,-0.030545194499999817,0.00217352415026828,-0.0015060777813420412,737861.6486111111
2021-03-12 15:35:00,-0.00013345195729543545,-0.007245936345956366,11.24,-1.0,0.0,-1.0,-44559.0,0.0,-500843.16000000003,1468707.2092000002,967864.0492000001,-0.0016408772136412564,-0.03213595079999976,0.0031862766973393963,0.0016754001354581938,737861.6493055555
2021-03-12 15:36:00,-0.0008897984606486373,-0.003296397250833485,11.2385,-1.0,0.0,-1.0,-44559.0,0.0,-500776.3215,1468707.2092000002,967930.8877000001,6.905773600651699e-05,-0.03206911229999987,-0.00013345195729541626,0.0015417245927353829,737861.65
2021-03-12 15:37:00,-0.0012022977245402812,-0.0009817108248533297,11.2285,-1.0,0.0,-0.0,-0.0,44559.0,0.0,968376.4777000002,968376.4777000002,0.00046035311576719806,-0.03162352229999987,-0.0008897984606486276,0.0006505543079173837,737861.6506944444
2021-03-12 15:38:00,-0.002674988854213035,-0.004976696060442875,11.215,-1.0,0.0,-1.0,-44559.0,-44559.0,-499729.185,1468105.6627000002,968376.4777000002,0.0,-0.03162352229999987,-0.00120229772454028,-0.0005525255765870263,737861.651388889
2021-03-12 15:39:00,0.0013410818059899946,-0.004675203165740465,11.185,-1.0,0.0,-1.0,-44559.0,0.0,-498392.41500000004,1468105.6627000002,969713.2477000002,0.0013804238648742473,-0.030286752299999886,-0.002674988854213023,-0.003226036431041024,737861.6520833333
2021-03-12 15:40:00,0.0008928571428572323,-0.002292801611917014,11.2,-1.0,0.0,-0.0,-0.0,44559.0,0.0,969044.8627000002,969044.8627000002,-0.0006892604608479402,-0.03095513729999999,0.0013410818059900187,-0.001889281003814136,737861.6527777778
2021-03-12 15:41:00,0.0017930419268510239,-0.0006316176216430738,11.21,-1.0,0.0,-0.0,-0.0,0.0,0.0,969044.8627000002,969044.8627000002,0.0,-0.03095513729999999,0.0008928571428572507,-0.0009981107189960259,737861.6534722223
2021-03-12 15:42:00,-0.0040159927338135675,-0.002270449275879089,11.2301,-1.0,0.0,-0.0,-0.0,0.0,0.0,969044.8627000002,969044.8627000002,0.0,-0.03095513729999999,0.0017930419268510356,0.000793141553488308,737861.6541666667
2021-03-12 15:43:00,0.00045596781403655647,-0.008278168670426356,11.185,-1.0,0.0,-1.0,-44559.0,-44559.0,-498392.41500000004,1467437.2777000002,969044.8627000002,0.0,-0.03095513729999999,-0.004015992733813589,-0.003226036431041024,737861.6548611111
2021-03-12 15:44:00,-0.0010098211812225033,-0.0013523326853796265,11.1901,-1.0,0.0,-0.0,-0.0,44559.0,0.0,968817.6118000003,968817.6118000003,-0.00023451019529341366,-0.031182388199999855,0.00045596781403656195,-0.002771539585783911,737861.6555555556
2021-03-12 15:45:00,0.0017175367660214038,0.0005156010286664814,11.1788,1.0,2.0,0.0,0.0,0.0,0.0,968817.6118000003,968817.6118000003,0.0,-0.031182388199999855,-0.0010098211812225033,-0.00377856200762805,737861.65625
2021-03-12 15:46:00,0.000312555813537969,-0.0050765803557984756,11.198,-1.0,-2.0,-1.0,-44559.0,-44559.0,-498971.68200000003,1467789.2938000003,968817.6118000003,0.0,-0.031182388199999855,0.001717536766021377,-0.002067515060777514,737861.6569444444
2021-03-12 15:47:00,-0.0005802794268623128,-0.007299376969142162,11.2015,-1.0,0.0,-1.0,-44559.0,0.0,-499127.63849999994,1467789.2938000003,968661.6553000004,-0.0001609761198602122,-0.03133834469999963,0.00031255581353795137,-0.0017556054610914362,737861.6576388889
2021-03-12 15:48:00,-0.004028584189370265,-0.0030433655757569358,11.195,-1.0,0.0,-1.0,-44559.0,0.0,-498838.005,1467789.2938000003,968951.2888000003,0.00029900378363811875,-0.031048711199999746,-0.0005802794268623401,-0.0023348661462230247,737861.6583333333
2021-03-12 15:49:00,-0.0017847693701288192,-0.0061831380699963355,11.1499,-1.0,0.0,-1.0,-44559.0,0.0,-496828.39410000003,1467789.2938000003,970960.8997000003,0.0020740061169521873,-0.029039100299999787,-0.004028584189370243,-0.0063540441307522455,737861.6590277777
2021-03-12 15:50:00,-0.0007816711590297306,7.520764888415455e-05,11.13,1.0,2.0,0.0,0.0,44559.0,0.0,971847.6238000002,971847.6238000002,0.0009132438806482845,-0.028152376199999996,-0.0017847693701288359,-0.00812747299754002,737861.6597222222
2021-03-12 15:51:00,-0.0005664805373472189,-0.0013553932293053474,11.1213,-1.0,-2.0,-0.0,-0.0,-0.0,0.0,971847.6238000002,971847.6238000002,0.0,-0.028152376199999996,-0.0007816711590297176,-0.008902791145331768,737861.6604166667
2021-03-12 15:52:00,0.002986954565901805,-0.0026366519241857013,11.115,-1.0,0.0,-0.0,-0.0,0.0,0.0,971847.6238000002,971847.6238000002,0.0,-0.028152376199999996,-0.0005664805373472026,-0.009464228424767018,737861.661111111
2021-03-12 15:53:00,-0.0008431854469779204,-0.0022329438441295014,11.1482,-1.0,0.0,-0.0,-0.0,0.0,0.0,971847.6238000002,971847.6238000002,0.0,-0.028152376199999996,0.0029869545659018115,-0.006505543079171283,737861.6618055556
2021-03-12 15:54:00,-0.0034922971953891234,-0.0011113176406465748,11.1388,-1.0,0.0,-0.0,-0.0,0.0,0.0,971847.6238000002,971847.6238000002,0.0,-0.028152376199999996,-0.0008431854469779232,-0.007343243146900158,737861.6625
2021-03-12 15:55:00,-0.002693717961423049,-0.00355568870351246,11.0999,-1.0,0.0,-1.0,-44559.0,-44559.0,-494600.4441,1466448.0679000001,971847.6238000002,0.0,-0.028152376199999996,-0.003492297195389127,-0.010809895554842353,737861.6631944445
2021-03-12 15:56:00,-0.00111111111111109,-0.012116266949677929,11.07,-1.0,0.0,-2.0,-89118.0,-44559.0,-986536.26,1959716.1979000003,973179.9379000003,0.0013709084298529906,-0.026820062099999986,-0.0026937179614230367,-0.013474494706448237,737861.6638888889
2021-03-12 15:57:00,9.947819166721447e-05,-0.0012960380319403464,11.0577,-1.0,0.0,-0.0,-0.0,89118.0,0.0,974276.0893000002,974276.0893000002,0.0011263604574147656,-0.02572391070000002,-0.0011111111111110628,-0.014570634156774398,737861.6645833333
2021-03-12 15:58:00,0.007342568813976312,-0.013201636019519764,11.0588,-1.0,0.0,-2.0,-89118.0,-89118.0,-985538.1383999999,1959814.2277000002,974276.0893000002,0.0,-0.02572391070000002,9.947819166722383e-05,-0.014472605425444485,737861.6652777778
2021-03-12 15:59:00,0.0785457809694794,-0.0030153881732810552,11.14,-1.0,0.0,-0.0,-0.0,89118.0,0.0,967039.7077000001,967039.7077000001,-0.007427444519550241,-0.032960292300000193,0.0073425688139763245,-0.00723630271272202,737861.6659722222
2021-03-15 09:30:00,-0.003329171868497813,-0.005652137251485905,12.015,-1.0,0.0,-1.0,-44559.0,-44559.0,-535376.385,1502416.0927000002,967039.7077000001,0.0,-0.032960292300000193,0.0785457809694794,0.07074109720885513,737864.3958333334
2021-03-15 09:31:00,0.02285594989561581,-0.006547241943534994,11.975,-1.0,0.0,-1.0,-44559.0,0.0,-533594.025,1502416.0927000002,968822.0677000001,0.0018431094254021119,-0.03117793230000021,-0.0033291718684977933,0.06717641606958291,737864.3965277778
